metric,pair,mean_a,mean_b,diff,ci_lo,ci_hi,p_raw,p_adj,cohen_d,n
Actionability rate,R3 vs GPT-5.2,0.9921177206150739,0.8256716974876488,0.1664460231274252,0.16238695170428957,0.17054934263838847,1.6232153429806e-161,8.9276843863933e-160,3.588332139415591,1000
Actionability rate,Gemini 3 Pro vs GPT-5.2,0.8142694444444445,0.8256716974876488,-0.011402253043204226,-0.023896037819451578,0.0009581833751862021,0.020769780461854608,0.08307912184741843,-0.07852309842762296,1000
Anchored rate,Human vs R3,0.4261646472194076,0.8004195432015225,-0.37425489598211503,-0.38797143337698564,-0.36011675108530367,2.160844128561123e-154,1.1020305055661727e-152,-2.294866182959001,1000
Anchored rate,Human vs Gemini 3 Pro,0.4261646472194076,0.8730035714285715,-0.4468389242091639,-0.4598702622940942,-0.43388044730568565,1.3947428293371393e-163,8.228982693089122e-162,-2.9100474769927733,1000
Anchored rate,Human vs GPT-5.2,0.4261646472194076,0.8760668272588293,-0.44990218003942184,-0.4612256089199175,-0.4384194656018891,6.208563553349054e-165,3.787223767542923e-163,-3.4730380685034254,1000
Anchored rate,R3 vs Gemini 3 Pro,0.8004195432015225,0.8730035714285715,-0.07258402822704883,-0.08476605823317923,-0.060786822605416915,6.108810354579414e-27,1.2217620709158828e-25,-0.4900935505608018,1000
Anchored rate,R3 vs GPT-5.2,0.8004195432015225,0.8760668272588293,-0.07564728405730677,-0.08603921614918981,-0.06511440057304539,7.621422164509914e-36,1.9815697627725777e-34,-0.6148444757757505,1000
Anchored rate,Gemini 3 Pro vs GPT-5.2,0.8730035714285715,0.8760668272588293,-0.003063255830257926,-0.012858277785290192,0.006533335470309695,0.3745163071384561,1.0,-0.02782588386575726,1000
Justification rate,Human vs R3,0.5029546000758373,0.9643739169953078,-0.4614193169194707,-0.47123373350406506,-0.45155440243956446,7.174190211092162e-165,4.3045141266552976e-163,-4.056924882492773,1000
Justification rate,Human vs Gemini 3 Pro,0.5029546000758373,0.9114738095238096,-0.4085192094479723,-0.41986746359384186,-0.3972167030760672,1.637852672697918e-163,9.499545501647923e-162,-3.098999195904989,1000
Justification rate,Human vs GPT-5.2,0.5029546000758373,0.8064534598786806,-0.30349885980284336,-0.31532512570325166,-0.2912503927822752,3.287766976588195e-153,1.6438834882940974e-151,-2.1583019792091567,1000
Justification rate,R3 vs Gemini 3 Pro,0.9643739169953078,0.9114738095238096,0.0529001074714983,0.04441165128802357,0.061528489378757184,9.765223179249398e-32,2.3436535630198554e-30,0.5191118067685959,1000
Justification rate,R3 vs GPT-5.2,0.9643739169953078,0.8064534598786806,0.15792045711662728,0.14807393893260312,0.1678294493042438,1.3186450383849281e-126,5.933902672732177e-125,1.3968629913209218,1000
Justification rate,Gemini 3 Pro vs GPT-5.2,0.9114738095238096,0.8064534598786806,0.10502034964512902,0.09405076570611012,0.11611438271583141,7.275360586768245e-61,2.0371009642951086e-59,0.8002496826091958,1000
Claim coverage,Human vs R3,0.764702380952381,0.7748404761904762,-0.01013809523809524,-0.026169166666666663,0.005781011904761903,0.4607852102304355,1.0,-0.049896208550589474,1000
Claim coverage,Human vs Gemini 3 Pro,0.764702380952381,0.5622785714285715,0.20242380952380956,0.18715696428571432,0.21804779761904763,5.129797404921436e-85,1.8980250398209315e-83,0.9651582547112897,1000
Claim coverage,Human vs GPT-5.2,0.764702380952381,0.8537833333333334,-0.08908095238095239,-0.10367392857142857,-0.07442089285714287,5.51983572378717e-30,1.269562216471049e-28,-0.4672570035299487,1000
Claim coverage,R3 vs Gemini 3 Pro,0.7748404761904762,0.5622785714285715,0.21256190476190476,0.1977779166666667,0.2272884523809524,1.7194902161156484e-96,6.534062821239464e-95,1.0800505795644741,1000
Claim coverage,R3 vs GPT-5.2,0.7748404761904762,0.8537833333333334,-0.07894285714285713,-0.09230720238095239,-0.0654920238095238,1.3387030984107446e-27,2.811276506662564e-26,-0.4477009037971251,1000
Claim coverage,Gemini 3 Pro vs GPT-5.2,0.5622785714285715,0.8537833333333334,-0.29150476190476193,-0.30453583333333334,-0.2782617261904762,1.9033508055301536e-133,8.945748785991722e-132,-1.5856789020666318,1000
Comments per paper,Human vs R3,34.962,16.284,18.678,17.998974999999998,19.377025,1.3738112479525345e-162,7.830724113329447e-161,2.3663853908179022,1000
Comments per paper,Human vs Gemini 3 Pro,34.962,5.899,29.063,28.434974999999998,29.709,2.9982362019475756e-165,1.9188711692464484e-163,3.971102320801038,1000
Comments per paper,Human vs GPT-5.2,34.962,21.709,13.253,12.595,13.922025,7.265928374750268e-150,3.560304903627631e-148,1.736097570155535,1000
Comments per paper,R3 vs Gemini 3 Pro,16.284,5.899,10.385,10.11,10.664,2.106288699442109e-165,1.3690876546373709e-163,3.2999071689996358,1000
Comments per paper,R3 vs GPT-5.2,16.284,21.709,-5.425,-5.747,-5.097,6.003723807479436e-118,2.641638475290952e-116,-1.4189883189191697,1000
Comments per paper,Gemini 3 Pro vs GPT-5.2,5.899,21.709,-15.81,-16.018,-15.603975,1.4731628288148196e-165,9.72287467017781e-164,-6.520800593992925,1000
Comment length (words),Human vs R3,39.660525339198024,78.2965078015314,-38.63598246233339,-39.37859812674344,-37.88635800030314,4.65493809022252e-165,2.886061615937963e-163,-4.3969777987603065,1000
Comment length (words),Human vs Gemini 3 Pro,39.660525339198024,68.76081309523809,-29.100287756040068,-30.037897376919496,-28.125442328486706,1.1977674628468024e-160,6.348167553088053e-159,-2.609385005920691,1000
Comment length (words),Human vs GPT-5.2,39.660525339198024,64.18198102683631,-24.521455687638284,-25.31913922127746,-23.728004690798425,8.126524774824038e-161,4.3883233784049805e-159,-2.5878387914994407,1000
Comment length (words),R3 vs Gemini 3 Pro,78.2965078015314,68.76081309523809,9.535694706293318,8.658135133583217,10.392855308232667,3.234882270258317e-75,1.132208794590411e-73,0.9339512856430713,1000
Comment length (words),R3 vs GPT-5.2,78.2965078015314,64.18198102683631,14.114526774695102,13.418034711861472,14.796391868184612,1.1105190187259838e-137,5.330491289884722e-136,1.691090980277346,1000
Comment length (words),Gemini 3 Pro vs GPT-5.2,68.76081309523809,64.18198102683631,4.578832068401784,3.643285075650944,5.4930680766061295,2.3740807799287133e-21,4.273345403871684e-20,0.4236339810092716,1000
Claim overlap fraction with human,Human vs R3,,,,,,,,,0
Claim overlap fraction with human,Human vs Gemini 3 Pro,,,,,,,,,0
Claim overlap fraction with human,Human vs GPT-5.2,,,,,,,,,0
Claim overlap fraction with human,R3 vs Gemini 3 Pro,0.8326448651749856,0.645426945878753,0.18721791929623255,0.17039784136546185,0.20393478676611207,3.1332921219233894e-71,1.0653193214539524e-69,0.8566155079801938,996
Claim overlap fraction with human,R3 vs GPT-5.2,0.8326448651749856,0.9064304838401223,-0.07378561866513673,-0.08713186077643909,-0.060414873780837645,1.14189993447427e-23,2.1696098755011133e-22,-0.416833777844877,996
Claim overlap fraction with human,Gemini 3 Pro vs GPT-5.2,0.645426945878753,0.9064304838401223,-0.2610035379613693,-0.27652532750047815,-0.2456827309236948,1.0206556132334525e-107,4.08262245293381e-106,-1.2893428413612993,996
Stance-matched overlap fraction with human,Human vs R3,,,,,,,,,0
Stance-matched overlap fraction with human,Human vs Gemini 3 Pro,,,,,,,,,0
Stance-matched overlap fraction with human,Human vs GPT-5.2,,,,,,,,,0
Stance-matched overlap fraction with human,R3 vs Gemini 3 Pro,0.6481449607955633,0.45734844138458597,0.19079651941097725,0.1732090863453815,0.20850066934404285,3.3126221421233785e-67,9.937866426370135e-66,0.7195957447851364,996
Stance-matched overlap fraction with human,R3 vs GPT-5.2,0.6481449607955633,0.671163224325875,-0.023018263530311726,-0.036990880187416336,-0.009086166092943205,0.002253504220632824,0.015774529544429768,-0.08759705307578994,996
Stance-matched overlap fraction with human,Gemini 3 Pro vs GPT-5.2,0.45734844138458597,0.671163224325875,-0.21381478294128897,-0.23068984270414994,-0.19711674077261426,1.02572939911469e-82,3.692625836812884e-81,-0.82194312932501,996
Stance agreement (critical),R3 vs Gemini 3 Pro,0.9901382823871907,0.8502183406113537,0.139919941775837,,,,4.224371423368403e-38,0.6727110184919292,916
Stance agreement (critical),R3 vs GPT-5.2,0.9904711673699016,0.9301336146272855,0.060337552742616096,,,,1.3760950665946337e-23,0.49081190130973296,948
Stance agreement (critical),Gemini 3 Pro vs GPT-5.2,0.8470503076366268,0.9309808179515019,-0.08393051031487508,,,,9.44640980025022e-15,-0.36003388051037594,921
