venue,source,metric,mean,n
eLife,Gemini 3 Pro,claim_overlap_fraction,80.0,972
eLife,Gemini 3 Pro,stance_matched_overlap_fraction,52.7,972
eLife,GPT-5.2,mapped_rate,68.2,999
eLife,GPT-5.2,consequential_rate,78.6,998
eLife,GPT-5.2,consequential_critical_rate,81.2,998
eLife,GPT-5.2,specification_rate,100.0,999
eLife,GPT-5.2,actionability_rate,98.6,999
eLife,GPT-5.2,anchored_rate,73.5,999
eLife,GPT-5.2,justification_rate,82.3,999
eLife,GPT-5.2,claim_coverage,96.2,1000
eLife,GPT-5.2,comments_per_paper,24.1,1000
eLife,GPT-5.2,comment_length,66.9,999
eLife,GPT-5.2,claim_overlap_fraction,98.0,972
eLife,GPT-5.2,stance_matched_overlap_fraction,71.6,972
NHB,Human,mapped_rate,49.0,142
NHB,Human,consequential_rate,67.7,139
NHB,Human,consequential_critical_rate,83.6,137
NHB,Human,specification_rate,99.0,142
NHB,Human,actionability_rate,79.8,142
NHB,Human,anchored_rate,65.3,142
NHB,Human,justification_rate,69.1,142
NHB,Human,claim_coverage,59.6,142
NHB,Human,comments_per_paper,17.7,142
NHB,Human,comment_length,177.9,142
NHB,Human,claim_overlap_fraction,,0
NHB,Human,stance_matched_overlap_fraction,,0
NHB,R3,mapped_rate,71.6,142
NHB,R3,consequential_rate,87.9,141
NHB,R3,consequential_critical_rate,90.0,141
NHB,R3,specification_rate,100.0,142
NHB,R3,actionability_rate,99.7,142
NHB,R3,anchored_rate,77.9,142
NHB,R3,justification_rate,97.0,142
NHB,R3,claim_coverage,83.2,142
NHB,R3,comments_per_paper,18.5,142
NHB,R3,comment_length,78.2,142
NHB,R3,claim_overlap_fraction,86.7,139
NHB,R3,stance_matched_overlap_fraction,76.3,139
NHB,Gemini 3 Pro,mapped_rate,71.0,142
NHB,Gemini 3 Pro,consequential_rate,68.2,140
NHB,Gemini 3 Pro,consequential_critical_rate,92.4,134
NHB,Gemini 3 Pro,specification_rate,100.0,142
NHB,Gemini 3 Pro,actionability_rate,80.9,142
NHB,Gemini 3 Pro,anchored_rate,86.3,142
NHB,Gemini 3 Pro,justification_rate,94.1,142
NHB,Gemini 3 Pro,claim_coverage,53.6,142
NHB,Gemini 3 Pro,comments_per_paper,5.4,142
NHB,Gemini 3 Pro,comment_length,63.7,142
NHB,Gemini 3 Pro,claim_overlap_fraction,67.0,139
NHB,Gemini 3 Pro,stance_matched_overlap_fraction,50.0,139
NHB,GPT-5.2,mapped_rate,56.2,142
NHB,GPT-5.2,consequential_rate,81.4,142
NHB,GPT-5.2,consequential_critical_rate,88.2,142
NHB,GPT-5.2,specification_rate,100.0,142
NHB,GPT-5.2,actionability_rate,95.5,142
NHB,GPT-5.2,anchored_rate,86.8,142
NHB,GPT-5.2,justification_rate,88.3,142
NHB,GPT-5.2,claim_coverage,85.9,142
NHB,GPT-5.2,comments_per_paper,21.6,142
NHB,GPT-5.2,comment_length,68.1,142
NHB,GPT-5.2,claim_overlap_fraction,93.3,139
NHB,GPT-5.2,stance_matched_overlap_fraction,80.7,139
